pin ,rotation speed,torque,Power,volumetric flow rate (DN 40),p1,p2,p3,p4,p5,p6,room temp
bara,U/min,Nm,W,Nmｳ/h,bar,bar,bar,bar,bar,bar,ｰC
9.02,2797.523816,-3.55068,-1040.192632,48.097051,0.979763,0.977845,0.974622,0.979511,0.978594,0.979733,21.871446
9.02,2795.601202,-3.554686,-1040.650824,46.946371,0.97932,0.977905,0.974594,0.979278,0.978594,0.979753,21.864658
9.02,2798.499543,-3.505661,-1027.343753,44.633503,0.97952,0.977833,0.974547,0.979401,0.978653,0.979778,21.870274
9.02,2802.202979,-3.443019,-1010.340272,41.678173,0.979776,0.977742,0.974487,0.979558,0.978729,0.979809,21.877449
9.02,2800.239509,-3.453673,-1012.753974,41.978788,0.979789,0.977742,0.974484,0.979497,0.978727,0.979779,21.871192
,,,,,,,,,,,
9.02,2800.474716,-3.444248696,-1010.066441,45.84674161,0.979653043,0.977832304,0.974562087,0.979428174,0.978643348,0.979740043,21.86537126
,,,,,,,,,,,
9.02,2595.282267,-3.607234,-980.364528,43.486658,0.980307,0.977863,0.974547,0.979558,0.978859,0.979828,21.87437
9.02,2595.073184,-3.662988,-995.436238,45.016105,0.979794,0.9778,0.974662,0.979584,0.978823,0.979861,21.880903
9.02,2594.986667,-3.686058,-1001.672807,45.648979,0.979581,0.977774,0.97471,0.979595,0.978808,0.979874,21.883607
9.02,2592.174862,-3.625979,-984.285444,46.59829,0.979853,0.977938,0.974564,0.979421,0.978852,0.979632,21.882567
9.02,2591.143867,-3.60395,-977.910077,46.946371,0.979953,0.977998,0.97451,0.979357,0.978868,0.979544,21.882186
9.02,2590.100855,-3.623816,-982.904097,44.598024,0.979517,0.978005,0.974612,0.979287,0.978854,0.97973,21.880932
9.02,2589.7644,-3.630225,-984.515071,43.840493,0.979376,0.978007,0.974645,0.979264,0.97885,0.97979,21.880528
9.02,2591.191932,-3.54299,-961.383655,42.147554,0.979593,0.977996,0.974622,0.979493,0.978816,0.97985,21.893682
9.02,2591.538,-3.521843,-955.776039,41.737145,0.979646,0.977993,0.974617,0.979548,0.978808,0.979865,21.896871
9.02,2593.253922,-3.402006,-923.860917,44.443162,0.979468,0.977808,0.974652,0.97944,0.978819,0.979784,21.857391
9.02,2593.6072,-3.377333,-917.290156,45.000283,0.979432,0.977769,0.974659,0.979418,0.978822,0.979767,21.849263
9.02,2592.74203,-3.339844,-906.805919,46.881645,0.979759,0.977647,0.974467,0.979316,0.978797,0.979657,21.881082
9.02,2592.621867,-3.334637,-905.349775,47.142946,0.979804,0.97763,0.97444,0.979302,0.978794,0.979641,21.885502
9.02,2593.51107,-3.322782,-902.440301,43.151523,0.979586,0.977983,0.97457,0.979507,0.978849,0.979784,21.925899
9.02,2593.6072,-3.3215,-902.125763,42.720018,0.979562,0.978021,0.974584,0.97953,0.978854,0.9798,21.930266
9.02,2598.812645,-3.36716,-916.364508,42.173445,0.97951,0.977784,0.974537,0.979663,0.978893,0.979731,21.897558
9.02,2599.223602,-3.370765,-917.488619,42.130294,0.979506,0.977765,0.974533,0.979674,0.978896,0.979725,21.894976
9.02,2598.550691,-3.58865,-976.541621,47.864518,0.979815,0.978042,0.974697,0.97942,0.978874,0.979843,21.903988
9.02,2598.533868,-3.594097,-978.017946,48.007874,0.979823,0.978049,0.974701,0.979413,0.978873,0.979846,21.904213
9.02,2595.873467,-3.646646,-991.301484,46.513907,0.979655,0.978026,0.97457,0.979404,0.978822,0.979809,21.871054
9.02,2595.748498,-3.645845,-991.036435,46.426647,0.979647,0.978021,0.974572,0.979408,0.978816,0.979812,21.872151
,,,,,,,,,,,
9.02,2594.159147,-3.51506419,-954.8986381,44.87980386,0.979675571,0.977900905,0.974593857,0.979457238,0.978840333,0.979770143,21.88709471
,,,,,,,,,,,
9.98,3258.933253,-3.6573,-1171.041954,52.407789,0.979706,0.9779,0.974854,0.979963,0.979049,0.979896,21.932415
9.98,3278.78923,-3.485715,-1123.829638,54.062371,0.979702,0.977756,0.974934,0.979944,0.979013,0.9798,21.911792
9.98,3279.039172,-3.660664,-1180.333488,55.620585,0.979903,0.977874,0.974951,0.979669,0.978989,0.979806,21.937775
9.98,3279.183369,-3.761597,-1212.931863,56.519554,0.980019,0.977942,0.974962,0.979511,0.978976,0.979809,21.952766
9.98,3279.572703,-3.724829,-1201.227002,54.176481,0.980154,0.977951,0.97475,0.979597,0.978963,0.979809,21.933582
9.98,3279.774579,-3.705764,-1195.157815,52.961554,0.980224,0.977956,0.97464,0.979641,0.978957,0.979809,21.923634
9.98,3279.909163,-3.799967,-1225.593842,52.948129,0.979867,0.978064,0.974628,0.979721,0.978957,0.979796,21.913768
9.98,3279.971649,-3.843704,-1239.724855,52.941896,0.979702,0.978114,0.974622,0.979758,0.978957,0.97979,21.909187
9.98,3278.926217,-3.776336,-1217.585933,54.916272,0.979774,0.977956,0.974823,0.979751,0.97895,0.97984,21.920076
9.98,3278.493625,-3.74846,-1208.425,55.733256,0.979804,0.977891,0.974906,0.979749,0.978948,0.97986,21.924582
9.98,3279.214612,-3.777297,-1218.00769,55.819557,0.979729,0.978017,0.974705,0.979592,0.978971,0.979819,21.923369
9.98,3279.478974,-3.787871,-1221.521343,55.8512,0.979702,0.978063,0.974631,0.979534,0.97898,0.979804,21.922924
9.98,3279.863501,-3.746857,-1208.44555,54.117508,0.98016,0.978103,0.974635,0.979502,0.978798,0.979739,21.917748
9.98,3279.971649,-3.735322,-1204.767984,53.629907,0.980289,0.978114,0.974636,0.979492,0.978747,0.979721,21.916292
9.98,3280.526809,-3.737966,-1205.837939,52.759705,0.980019,0.978024,0.974699,0.979432,0.978871,0.979833,21.917627
9.98,3280.661394,-3.738607,-1206.097322,52.548747,0.979953,0.978002,0.974715,0.979418,0.978901,0.97986,21.91795
9.98,3279.063205,-3.721785,-1200.048026,61.106935,0.979627,0.978078,0.974929,0.979704,0.978802,0.979884,21.911278
9.98,3278.78923,-3.718901,-1199.011004,62.574053,0.979572,0.978091,0.974966,0.979753,0.978785,0.979888,21.910134
9.98,3279.135304,-3.698714,-1192.636632,55.445586,0.980283,0.978054,0.974696,0.979647,0.978858,0.979896,21.937377
9.98,3279.183369,-3.695911,-1191.751302,54.455521,0.980382,0.978049,0.974659,0.979632,0.978868,0.979898,21.941161
,,,,,,,,,,,
9.98,3278.42405,-3.72617835,-1201.198809,55.0298303,0.97992855,0.97799995,0.97476705,0.9796505,0.978917,0.97982785,21.92377185
,,,,,,,,,,,
9.98,3078.666662,-3.717539,-1198.526938,55.952844,0.98008,0.97808,0.97492,0.979731,0.978987,0.9799,21.920856
9.98,3080.858464,-3.866694,-1247.499037,56.991333,0.980037,0.977942,0.974747,0.979329,0.978841,0.979814,21.873659
9.98,3080.810398,-3.861488,-1245.799929,56.682088,0.980079,0.977938,0.974765,0.979338,0.978862,0.979874,21.879262
9.98,3080.464324,-3.823998,-1233.566351,54.455521,0.980382,0.977909,0.974892,0.979399,0.979017,0.980312,21.919608
9.98,3080.190348,-3.828324,-1234.851188,54.323192,0.980285,0.977951,0.974873,0.979416,0.979003,0.980277,21.915934
9.98,3078.59216,-3.853557,-1242.346069,53.551277,0.979721,0.978198,0.974766,0.979511,0.97892,0.980075,21.894502
9.98,3070.315231,-3.835614,-1233.312263,53.6184,0.979737,0.978168,0.974751,0.979531,0.978929,0.980048,21.897939
9.98,3030.113008,-3.74846,-1189.433781,53.944427,0.979814,0.978026,0.974677,0.979627,0.978976,0.979921,21.914634
9.98,3028.46916,-3.768646,-1195.178095,53.77614,0.979832,0.97804,0.974669,0.979598,0.978926,0.979948,21.913074
9.98,3022.624367,-3.84042,-1215.602323,53.177786,0.979898,0.978091,0.97464,0.979492,0.978752,0.980047,21.907529
9.98,3019.283799,-3.849232,-1217.035321,52.194913,0.979886,0.978073,0.974689,0.979472,0.978788,0.980002,21.901232
9.98,3008.92804,-3.876547,-1221.477616,49.148006,0.979851,0.978016,0.97484,0.979409,0.978901,0.979865,21.881712
9.98,3008.690115,-3.8554,-1214.719473,50.782932,0.979806,0.978009,0.974779,0.979511,0.978917,0.979851,21.889147
9.98,3008.041228,-3.797724,-1196.288174,55.241819,0.979683,0.977988,0.974612,0.97979,0.978962,0.979814,21.909424
9.98,3008.41614,-3.781062,-1191.186712,54.793054,0.979819,0.977963,0.974673,0.979677,0.979029,0.979808,21.912202
9.98,3009.223644,-3.745175,-1180.19895,53.826482,0.980112,0.977909,0.974803,0.979432,0.979176,0.979795,21.918187
9.98,3008.988122,-3.735082,-1176.926679,52.94717,0.980112,0.977958,0.974848,0.979468,0.979095,0.979817,21.918187
9.98,3008.533901,-3.715616,-1170.615872,51.251354,0.980112,0.978054,0.974934,0.979539,0.978938,0.97986,21.918187
9.98,3009.379858,-3.727152,-1174.581823,52.448062,0.980061,0.978108,0.974846,0.97963,0.978862,0.97992,21.916246
9.98,3010.701665,-3.745175,-1180.77862,54.317918,0.979981,0.978193,0.97471,0.979772,0.978743,0.980014,21.913213
9.98,3010.374818,-3.758793,-1184.942742,53.315388,0.97995,0.978075,0.97472,0.979679,0.978832,0.979979,21.902803
,,,,,,,,,,,
9.98,3035.317402,-3.796747524,-1206.898474,53.65429076,0.979963714,0.97803281,0.974769238,0.979540524,0.978926476,0.979949571,21.905597
,,,,,,,,,,,
9.98,2809.391156,-3.923168,-1154.197945,49.548347,0.979929,0.977903,0.974771,0.979638,0.979153,0.979987,21.898598
9.98,2808.410622,-3.896253,-1145.872756,49.364238,0.979935,0.977872,0.974785,0.97959,0.979246,0.980102,21.892844
9.98,2810.124153,-3.826722,-1126.106575,52.292241,0.979907,0.978094,0.974795,0.979632,0.978982,0.979919,21.908782
9.98,2810.676904,-3.804293,-1119.730387,53.236758,0.979898,0.978165,0.974799,0.979646,0.978896,0.97986,21.913924
9.98,2808.446671,-3.924771,-1154.266504,52.699774,0.979716,0.977994,0.974933,0.979628,0.978962,0.979871,21.923721
9.98,2807.819418,-3.958655,-1163.979787,52.548747,0.979665,0.977946,0.974971,0.979623,0.97898,0.979874,21.926476
9.98,2807.026339,-4.006237,-1177.636943,50.270399,0.98001,0.977864,0.974712,0.979529,0.979149,0.979927,21.920948
9.98,2806.834077,-4.017772,-1180.947769,49.718073,0.980093,0.977844,0.97465,0.979506,0.97919,0.979939,21.919608
9.98,2812.2174,-3.821515,-1125.397085,53.661551,0.979823,0.978082,0.974753,0.979618,0.979261,0.979896,21.915969
9.98,2813.140255,-3.787871,-1115.874111,54.337576,0.979776,0.978123,0.974771,0.979637,0.979274,0.979888,21.915345
9.98,2810.631242,-3.995503,-1175.983355,53.112101,0.980095,0.978042,0.974775,0.979477,0.978787,0.979835,21.91992
9.98,2810.282768,-4.024341,-1184.331861,52.941896,0.98014,0.97803,0.974775,0.979455,0.978719,0.979828,21.920555
9.98,2806.903772,-3.954329,-1162.330683,50.045058,0.980157,0.977983,0.974663,0.979649,0.978922,0.979849,21.910019
9.98,2806.637009,-3.948802,-1160.593748,49.81636,0.980158,0.977979,0.974654,0.979665,0.978938,0.979851,21.909187
9.98,2810.948474,-3.723867,-1096.159205,54.472301,0.980008,0.978156,0.974849,0.97962,0.978659,0.97974,21.875843
